"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Luka Doncic","Lal","*","F-G","26.9","42","35.5","37.9","16.2","456","0.781","491","0.587","432","0.345","0.554","0.614","32.8","7.8","8.5","1.5","0.5","4.3","40.7","41.4","49.2","14.6","120.3","110.9"
"","Shai Gilgeous-Alexander","Okc","*","G","27.6","49","33.3","33.5","9.6","452","0.892","741","0.603","223","0.39","0.599","0.67","31.8","4.4","6.4","1.3","0.8","2.1","36.2","38.2","42.7","11.6","134.5","106"
"","Anthony Edwards","Min","*","G","24.5","43","35.5","31.5","11.2","321","0.794","530","0.555","361","0.404","0.576","0.62","29.8","5.3","3.7","1.3","0.8","2.6","35","33.5","38.8","9.4","120","112.1"
"","Jaylen Brown","Bos","*","G-F","29.3","47","34.3","36.9","14","334","0.769","780","0.531","280","0.357","0.532","0.574","29.5","7","4.7","1","0.4","3.7","36.5","34.2","41.2","11.5","113.4","107.7"
"","Nikola Jokic","Den","*","C","31","36","34.4","30.9","16.6","274","0.843","449","0.664","177","0.418","0.653","0.703","29.1","12.1","10.5","1.4","0.7","3.5","41.3","39.6","51.8","18","140.3","107.6"
"","Tyrese Maxey","Phi","*","G","25.3","49","38.8","28.9","10.1","284","0.887","622","0.532","432","0.384","0.55","0.599","28.8","4.1","6.9","2","0.8","2.4","32.9","35.7","39.8","9.6","123.2","113"
"","Donovan Mitchell","Cle","*","G","29.4","48","33.8","32.4","13","285","0.846","527","0.575","467","0.381","0.573","0.617","28.8","4.6","5.9","1.5","0.2","3.1","33.4","34.7","39.3","10.9","120.2","111.2"
"","Giannis Antetokounmpo","Mil","*","F","31.2","30","29.2","36.3","17","298","0.658","449","0.666","38","0.395","0.66","0.679","28","10","5.6","0.9","0.7","3.3","38","33.6","43.6","15.9","128.3","108.3"
"","Kawhi Leonard","Lac","*","F","34.6","38","32.8","32.9","9.9","234","0.919","475","0.558","264","0.386","0.566","0.624","27.7","6.2","3.7","2","0.6","2.1","33.9","31.4","37.6","10.5","123.4","114.1"
"","Stephen Curry","Gol","*","G","37.9","39","31.3","32.7","13","204","0.931","296","0.584","448","0.391","0.585","0.636","27.2","3.5","4.8","1.1","0.4","2.8","30.7","32.1","35.6","9.8","119.8","112.5"
"","Lauri Markkanen","Uta","*","F-C","28.7","38","35.2","27.8","7.2","252","0.889","437","0.556","296","0.361","0.55","0.611","27.1","6.9","2.2","1","0.5","1.5","34.1","29.3","36.2","8.5","123.2","121.3"
"","Jalen Brunson","Nyk","*","G","29.4","47","34.5","31","9.7","276","0.848","601","0.524","365","0.373","0.537","0.585","27.1","3.3","6.1","0.7","0.1","2.2","30.3","33.1","36.4","9.5","122.6","113.2"
"","Austin Reaves","Lal","*","G","27.7","25","34.3","29.1","17","214","0.869","216","0.63","183","0.372","0.596","0.671","26.5","5.2","5.9","1","0.2","3.3","31.7","32.4","37.6","10.9","127.1","114"
"","Joel Embiid","Phi","*","C-F","31.9","30","31.3","33.7","14.2","255","0.859","428","0.547","116","0.302","0.527","0.603","26.4","7.4","3.9","0.7","1.1","3","33.8","30.3","37.8","11.7","119.4","111.1"
"","Jock Landale","Atl","*","C","30.3","1","31.5","22.4","12.3","2","0.5","6","0.833","8","0.625","0.893","0.874","26","11","5","0","4","2","37","31","42","14.3","159.4","114.7"
"","Kevin Durant","Hou","*","F","37.4","47","36.6","27","14.5","287","0.885","579","0.558","267","0.404","0.573","0.629","26","5.3","4.4","0.9","0.9","3.1","31.4","30.5","35.8","9.3","123.9","111.7"
"","Jamal Murray","Den","*","G","29","47","35.8","28.7","11","234","0.88","533","0.522","352","0.432","0.572","0.616","25.9","4.3","7.5","1","0.4","2.3","30.2","33.4","37.7","10.5","124.8","117.6"
"","Deni Avdija","Por","*","F","25.1","44","34.6","29","18.9","419","0.8","455","0.534","281","0.356","0.534","0.609","25.5","7.2","6.7","0.8","0.6","3.9","32.7","32.2","39.3","12.4","119.8","111.3"
"","Devin Booker","Pho","*","G","29.3","41","34","31.4","15.4","330","0.864","530","0.517","224","0.313","0.503","0.58","25.4","4","6.2","0.9","0.3","3.3","29.5","31.7","35.7","10.1","117.4","111.9"
"","James Harden","Lac","*","G","36.5","44","35.4","31.3","17.4","374","0.901","382","0.492","389","0.347","0.506","0.598","25.4","4.8","8.1","1.3","0.4","3.7","30.2","33.5","38.4","11.3","119.6","115.3"
"","Cade Cunningham","Det","*","G","24.4","45","35","30.6","16.3","320","0.806","604","0.518","256","0.32","0.507","0.565","25.1","5.5","9.7","1.4","0.8","3.7","30.6","34.8","40.3","12.6","117.7","105"
"","Michael Porter Jr.","Bro","*","F","27.6","40","33.1","30.4","11.7","174","0.851","367","0.564","380","0.387","0.572","0.609","25.1","7.2","3.2","1.1","0.3","2.5","32.3","28.3","35.5","10.1","115.7","113.8"
"","Victor Wembanyama","San","*","F-C","22.1","37","29.1","32.1","14.2","264","0.811","423","0.57","180","0.367","0.564","0.622","24.2","11.1","2.8","0.9","2.7","2.7","35.3","26.9","38.1","12.5","119","100"
"","Keyonte George","Uta","*","G","22.3","47","34.4","27.7","16.8","338","0.893","458","0.517","318","0.377","0.537","0.614","24.2","3.9","6.6","1.1","0.3","3.3","28.1","30.8","34.7","9.9","118.3","120.6"
"","Pascal Siakam","Ind","*","F","31.9","49","33.9","29.1","10.6","292","0.685","667","0.522","239","0.372","0.531","0.562","23.7","6.8","4","1.1","0.5","2.2","30.5","27.7","34.5","10.2","111.9","112.8"
"","Jalen Johnson","Atl","*","F","24.1","48","35.6","27.1","16.8","263","0.776","602","0.556","226","0.354","0.55","0.59","23.2","10.6","8.2","1.2","0.5","3.5","33.9","31.4","42","14.2","116.6","110.5"
"","Norman Powell","Mia","*","G","32.7","44","30.8","27.3","10.9","246","0.846","398","0.54","318","0.393","0.562","0.615","23","3.6","2.6","1.2","0.2","2","26.7","25.6","29.3","7.8","116.5","110"
"","Ty Jerome","Mem","*","G-F","28.6","3","20.2","33.6","12.1","19","0.842","20","0.75","16","0.438","0.708","0.755","22.3","2.7","7","1","0","1.7","25","29.3","32","14.8","151.3","107.6"
"","Julius Randle","Min","*","F-C","31.2","53","33.5","26.5","14","333","0.823","588","0.56","251","0.323","0.537","0.596","22.2","6.9","5.4","1.1","0.2","2.6","29","27.6","34.5","11.2","121.6","108.2"
"","Trey Murphy III","Nor","*","F","25.6","50","35.9","23.1","10.3","190","0.895","392","0.582","426","0.378","0.574","0.615","22.2","5.8","3.7","1.5","0.3","1.9","28","25.9","31.7","8.7","122.3","117.1"
"","Brandon Ingram","Tor","*","F","28.4","51","34.2","27.4","12.6","233","0.837","631","0.515","258","0.368","0.526","0.57","22.2","5.9","3.7","0.8","0.8","2.5","28","25.9","31.8","9.2","110","111.9"
"","Franz Wagner","Orl","*","F","24.5","26","32.8","26.3","10.3","172","0.826","305","0.521","106","0.368","0.529","0.593","22.2","6.1","3.6","1.1","0.3","1.8","28.3","25.8","31.9","9.6","121","111.3"
"","Anfernee Simons","Chi","*","G","26.7","1","32","23.7","16.7","0","0","2","1","13","0.462","0.733","0.733","22","2","3","0","1","3","24","25","27","6.4","113.4","122.5"
